cell_type1	dataset	is_endo
heart fibroblast_pool8	heart fibroblast	heart	no
heart fibroblast_pool9	heart fibroblast	heart	no
heart fibroblast_pool10	heart fibroblast	heart	no
heart fibroblast_pool11	heart fibroblast	heart	no
heart fibroblast_pool12	heart fibroblast	heart	no
heart fibroblast_pool13	heart fibroblast	heart	no
heart fibroblast_pool14	heart fibroblast	heart	no
heart fibroblast_pool15	heart fibroblast	heart	no
heart fibroblast_pool16	heart fibroblast	heart	no
heart fibroblast_pool17	heart fibroblast	heart	no
heart fibroblast_pool18	heart fibroblast	heart	no
heart fibroblast_pool19	heart fibroblast	heart	no
heart fibroblast_pool20	heart fibroblast	heart	no
heart fibroblast_pool21	heart fibroblast	heart	no
heart fibroblast_pool22	heart fibroblast	heart	no
heart fibroblast_pool23	heart fibroblast	heart	no
heart fibroblast_pool24	heart fibroblast	heart	no
heart fibroblast_pool25	heart fibroblast	heart	no
heart fibroblast_pool26	heart fibroblast	heart	no
heart leukocyte_pool1	heart leukocyte	heart	no
heart leukocyte_pool2	heart leukocyte	heart	no
heart leukocyte_pool3	heart leukocyte	heart	no
heart leukocyte_pool4	heart leukocyte	heart	no
heart leukocyte_pool5	heart leukocyte	heart	no
heart leukocyte_pool6	heart leukocyte	heart	no
heart smooth muscle cell_pool1	heart smooth muscle cell	heart	no
heart smooth muscle cell_pool2	heart smooth muscle cell	heart	no
heart smooth muscle cell_pool3	heart smooth muscle cell	heart	no
lung endothelial cell_pool1	lung endothelial cell	lung	yes
lung endothelial cell_pool2	lung endothelial cell	lung	yes
lung endothelial cell_pool3	lung endothelial cell	lung	yes
lung endothelial cell_pool4	lung endothelial cell	lung	yes
lung endothelial cell_pool5	lung endothelial cell	lung	yes
lung endothelial cell_pool6	lung endothelial cell	lung	yes
lung endothelial cell_pool7	lung endothelial cell	lung	yes
lung endothelial cell_pool8	lung endothelial cell	lung	yes
lung endothelial cell_pool9	lung endothelial cell	lung	yes
lung stromal cell_pool1	lung stromal cell	lung	no
lung stromal cell_pool2	lung stromal cell	lung	no
lung stromal cell_pool3	lung stromal cell	lung	no
lung stromal cell_pool4	lung stromal cell	lung	no
lung type II pneumocyte_pool1	lung type II pneumocyte	lung	no
marrow B cell_pool1	marrow B cell	marrow	no
marrow B cell_pool2	marrow B cell	marrow	no
marrow B cell_pool3	marrow B cell	marrow	no
marrow B cell_pool4	marrow B cell	marrow	no
marrow B cell_pool5	marrow B cell	marrow	no
marrow B cell_pool6	marrow B cell	marrow	no
marrow B cell_pool7	marrow B cell	marrow	no
marrow B cell_pool8	marrow B cell	marrow	no
marrow B cell_pool9	marrow B cell	marrow	no
marrow B cell_pool10	marrow B cell	marrow	no
marrow B cell_pool11	marrow B cell	marrow	no
marrow B cell_pool12	marrow B cell	marrow	no
marrow B cell_pool13	marrow B cell	marrow	no
marrow B cell_pool14	marrow B cell	marrow	no
marrow B cell_pool15	marrow B cell	marrow	no
marrow B cell_pool16	marrow B cell	marrow	no
marrow B cell_pool17	marrow B cell	marrow	no
marrow B cell_pool18	marrow B cell	marrow	no
marrow B cell_pool19	marrow B cell	marrow	no
marrow B cell_pool20	marrow B cell	marrow	no
marrow B cell_pool21	marrow B cell	marrow	no
marrow B cell_pool22	marrow B cell	marrow	no
marrow B cell_pool23	marrow B cell	marrow	no
marrow Fraction A pre-pro B cell_pool1	marrow Fraction A pre-pro B cell	marrow	no
marrow Fraction A pre-pro B cell_pool2	marrow Fraction A pre-pro B cell	marrow	no
marrow granulocyte_pool1	marrow granulocyte	marrow	no
marrow granulocyte_pool2	marrow granulocyte	marrow	no
marrow granulocyte_pool3	marrow granulocyte	marrow	no
marrow granulocyte_pool4	marrow granulocyte	marrow	no
marrow hematopoietic stem cell_pool1	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool2	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool3	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool4	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool5	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool6	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool7	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool8	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool9	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool10	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool11	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool12	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool13	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool14	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool15	marrow hematopoietic stem cell	marrow	no
marrow hematopoietic stem cell_pool16	marrow hematopoietic stem cell	marrow	no
marrow monocyte_pool1	marrow monocyte	marrow	no
marrow monocyte_pool2	marrow monocyte	marrow	no
marrow monocyte_pool3	marrow monocyte	marrow	no
marrow monocyte_pool4	marrow monocyte	marrow	no
marrow natural killer cell_pool1	marrow natural killer cell	marrow	no
marrow neutrophil_pool1	marrow neutrophil	marrow	no
marrow neutrophil_pool2	marrow neutrophil	marrow	no
marrow neutrophil_pool3	marrow neutrophil	marrow	no
marrow neutrophil_pool4	marrow neutrophil	marrow	no
marrow neutrophil_pool5	marrow neutrophil	marrow	no
marrow neutrophil_pool6	marrow neutrophil	marrow	no
marrow neutrophil_pool7	marrow neutrophil	marrow	no
marrow T cell_pool1	marrow T cell	marrow	no
muscle B cell_pool1	muscle B cell	muscle	no
muscle endothelial cell_pool1	muscle endothelial cell	muscle	yes
muscle endothelial cell_pool2	muscle endothelial cell	muscle	yes
muscle mesenchymal stem cell_pool1	muscle mesenchymal stem cell	muscle	no
muscle mesenchymal stem cell_pool2	muscle mesenchymal stem cell	muscle	no
muscle mesenchymal stem cell_pool3	muscle mesenchymal stem cell	muscle	no
muscle mesenchymal stem cell_pool4	muscle mesenchymal stem cell	muscle	no
muscle mesenchymal stem cell_pool5	muscle mesenchymal stem cell	muscle	no
muscle mesenchymal stem cell_pool6	muscle mesenchymal stem cell	muscle	no
muscle skeletal muscle satellite cell_pool1	muscle skeletal muscle satellite cell	muscle	no
muscle skeletal muscle satellite cell_pool2	muscle skeletal muscle satellite cell	muscle	no
muscle skeletal muscle satellite cell_pool3	muscle skeletal muscle satellite cell	muscle	no
muscle skeletal muscle satellite cell_pool4	muscle skeletal muscle satellite cell	muscle	no
muscle skeletal muscle satellite cell_pool5	muscle skeletal muscle satellite cell	muscle	no
muscle skeletal muscle satellite cell_pool6	muscle skeletal muscle satellite cell	muscle	no
muscle skeletal muscle satellite stem cell_pool1	muscle skeletal muscle satellite stem cell	muscle	no
muscle skeletal muscle satellite stem cell_pool2	muscle skeletal muscle satellite stem cell	muscle	no
muscle skeletal muscle satellite stem cell_pool3	muscle skeletal muscle satellite stem cell	muscle	no
muscle skeletal muscle satellite stem cell_pool4	muscle skeletal muscle satellite stem cell	muscle	no
muscle skeletal muscle satellite stem cell_pool5	muscle skeletal muscle satellite stem cell	muscle	no
pancreas pancreatic A cell_pool1	pancreas pancreatic A cell	pancreas	no
pancreas pancreatic A cell_pool2	pancreas pancreatic A cell	pancreas	no
pancreas pancreatic A cell_pool3	pancreas pancreatic A cell	pancreas	no
pancreas pancreatic acinar cell_pool1	pancreas pancreatic acinar cell	pancreas	no
pancreas pancreatic acinar cell_pool2	pancreas pancreatic acinar cell	pancreas	no
pancreas pancreatic D cell_pool1	pancreas pancreatic D cell	pancreas	no
pancreas pancreatic ductal cell_pool1	pancreas pancreatic ductal cell	pancreas	no
pancreas pancreatic PP cell_pool1	pancreas pancreatic PP cell	pancreas	no
pancreas type B pancreatic cell_pool1	pancreas type B pancreatic cell	pancreas	no
pancreas type B pancreatic cell_pool2	pancreas type B pancreatic cell	pancreas	no
pancreas type B pancreatic cell_pool3	pancreas type B pancreatic cell	pancreas	no
pancreas type B pancreatic cell_pool4	pancreas type B pancreatic cell	pancreas	no
pancreas type B pancreatic cell_pool5	pancreas type B pancreatic cell	pancreas	no
